trial,signal_type,precision,raw_sqnr_db,aligned_sqnr_db,alpha_real,alpha_imag
0,uniform,bf16,53.195913287073225,53.202155105921975,0.9999403263192991,-5.760918808617965e-05
1,uniform,bf16,52.626724472809265,52.633721573453,0.9999382540150067,7.05611712736246e-05
2,uniform,bf16,53.2223884686894,53.226557530441056,1.000030786023974,-6.017783682483819e-05
3,uniform,bf16,52.980324758667294,52.988882481221566,1.0000983020288343,1.5799401494756585e-05
4,uniform,bf16,52.96076426695947,52.96206798730772,1.0000263420628526,-2.8707787476350578e-05
5,uniform,bf16,53.01719064721638,53.041490063306526,1.0000830683285402,-0.00014476812202838892
6,uniform,bf16,52.79817178741027,52.82183722890391,1.0000861182818621,0.00014532923110590994
7,uniform,bf16,53.04320873757921,53.04534107583184,0.9999891438280748,4.814475806676367e-05
8,uniform,bf16,53.02799806756103,53.02902101061588,0.9999669693269306,-9.037811474180889e-06
9,uniform,bf16,53.04031709772335,53.04152501163099,0.999963189823728,5.080122946914672e-06
10,uniform,bf16,52.934747780972735,52.94988702460515,1.0001080449590616,-7.768457708534123e-05
11,uniform,bf16,53.22386818415663,53.22469347505579,0.9999700312802948,2.509375498926843e-06
12,uniform,bf16,53.231502766271475,53.23789176381492,0.999932660497983,4.949426148869027e-05
13,uniform,bf16,52.91074314067819,52.91889108660473,0.9999022088341661,-4.925149211508895e-06
14,uniform,bf16,53.12494675821568,53.13311425026989,0.9999654231065106,-8.918203757535498e-05
15,uniform,bf16,53.15608403742496,53.15829010914796,1.0000254027742008,4.2546489966773306e-05
16,uniform,bf16,53.32508601000761,53.32928712767708,0.9999329494745401,-1.1599341373277556e-07
17,uniform,bf16,52.990630911693984,53.00050077689178,1.000095407060327,-4.797339857227778e-05
18,uniform,bf16,53.223828829226385,53.22943814689484,0.9999234398993428,-1.6786836159528107e-05
19,uniform,bf16,53.1276587233399,53.13095901683869,1.0000604255836454,-6.790495147290019e-06
20,uniform,bf16,53.190691337264795,53.191437121838646,1.0000178681977105,2.245824765456323e-05
21,uniform,bf16,53.007441396096795,53.00771182848146,1.0000117924232137,1.3133535263164105e-05
22,uniform,bf16,53.07240746077489,53.07325149718689,0.9999809055509502,-2.4355949232963746e-05
23,uniform,bf16,52.8688602788749,52.92580682075504,1.000255186684148,4.695529147251805e-05
24,uniform,bf16,53.15552616680509,53.168379563365335,0.9999440623687663,-0.00010563927804694245
25,uniform,bf16,53.4114892530596,53.41899858778233,1.0000206001931224,-8.632356925802647e-05
26,uniform,bf16,53.12913161405211,53.13363861452322,0.999949123120535,4.9570739102229826e-05
