trial,signal_type,precision,raw_sqnr_db,aligned_sqnr_db,alpha_real,alpha_imag
0,uniform,fp16,60.433127114839834,60.483542524077876,0.9999124769355752,-5.2762146555618357e-05
1,uniform,fp16,60.57326293836802,60.60689578663775,0.9999183034627159,9.218381570375879e-06
2,uniform,fp16,60.44953605315264,60.487340140176265,0.9999169316399511,-3.0216730280468994e-05
3,uniform,fp16,60.24873642758741,60.26310390083073,0.9999615568125518,4.05068477128361e-05
4,uniform,fp16,60.16728513289301,60.22883911083866,0.9998950495823712,-5.024099172044909e-05
5,uniform,fp16,60.1934221692145,60.221812091393275,0.9999210645685661,3.129080072677625e-07
6,uniform,fp16,60.10298345188242,60.14510338043663,0.9999032245051103,-7.622840524906209e-06
7,uniform,fp16,60.08874918531687,60.227420284099395,0.9998271256351606,-2.989942250635531e-05
8,uniform,fp16,60.44326758708301,60.47885597617157,0.9999142157991573,-2.9985614574299914e-06
9,uniform,fp16,60.72085472913355,60.77330668000055,0.9999518549338972,-8.859985058114128e-05
10,uniform,fp16,60.0683377887748,60.084142461639146,0.9999603186633251,-4.4731933652781046e-05
11,uniform,fp16,60.65549324213773,60.71566805870428,0.9998965369993715,-3.354775369393186e-05
12,uniform,fp16,60.25735100084041,60.35278716522656,0.9998691855654404,-5.80257310240615e-05
13,uniform,fp16,60.75042263276268,60.79371534584004,0.9999192341597725,-4.2667550199435264e-05
14,uniform,fp16,60.72859911118981,60.78756920353614,0.999895356814555,-2.1237663752689767e-05
15,uniform,fp16,60.57946548839605,60.63195478782564,0.9999596642475607,-9.426017579377122e-05
16,uniform,fp16,60.27803801487493,60.27984824007264,0.9999983413219636,-1.970120146976527e-05
17,uniform,fp16,60.20205259936268,60.31140778477268,0.9998464016389805,1.1640837291859888e-05
18,uniform,fp16,60.49599562513703,60.61707662509419,0.9998442223449039,-1.591030470994636e-05
19,uniform,fp16,60.548530767956535,60.63949940215498,0.9998659262965464,1.6979931048011902e-05
20,uniform,fp16,60.36707314267741,60.461850750117144,0.9998594313371345,8.500073300763354e-06
21,uniform,fp16,60.189557171263516,60.223814813135974,0.9999559530019463,-7.470426828426333e-05
22,uniform,fp16,60.69623653189015,60.77846013238758,0.9998915349650969,-6.487267922644695e-05
23,uniform,fp16,60.39382652274645,60.487456663762586,0.9998611611501705,-1.4063585839379421e-05
24,uniform,fp16,60.65526055284251,60.66096612230085,0.9999674244668914,8.233261784723413e-06
25,uniform,fp16,60.42727649489337,60.5393238025697,0.9998605059126683,-6.015269641215977e-05
26,uniform,fp16,60.59959206460009,60.62215965352354,0.9999455575362937,-3.9370967663628945e-05
27,uniform,fp16,60.12810013543843,60.222941098788496,0.9998557191009207,1.2262143274137165e-05
28,uniform,fp16,60.65100645799375,60.706530083724374,0.9999144348483243,-6.0097956040617614e-05
29,uniform,fp16,60.71855733005134,60.77683001828606,0.9999283829819002,-7.851836045868879e-05
30,uniform,fp16,60.64664451556345,60.683407247712566,0.9999625265488775,-7.653956453464769e-05
31,uniform,fp16,60.26711603833995,60.33144583661912,0.9998987460717539,-5.97585507286116e-05
32,uniform,fp16,60.26008049646005,60.311021335438966,0.9998959598605441,-1.2513257843240037e-05
33,uniform,fp16,60.14356273549052,60.155599783300616,0.9999576576191258,-2.9743836832037394e-05
34,uniform,fp16,60.35445682712342,60.41467200893487,0.9998906030233637,-2.682805019992486e-05
35,uniform,fp16,60.6241965339732,60.65985043807486,0.9999160124818839,-5.13367322085968e-06
36,uniform,fp16,60.57405730018391,60.61398185673987,0.9999198378561073,-3.988176139046148e-05
37,uniform,fp16,60.356065517336795,60.38893352188226,0.9999216569605447,-2.841428339571968e-05
38,uniform,fp16,60.59318260069703,60.620321436900504,0.9999277583911833,-1.4646823863203185e-05
39,uniform,fp16,60.64751910887965,60.65137179399605,1.0000096571208739,2.5896953436997963e-05
40,uniform,fp16,60.46630186112146,60.499572971705724,0.9999195816728278,-1.96602540562362e-05
41,uniform,fp16,60.130670612314496,60.165040711538666,0.9999222815574693,-4.0097283588703247e-05
42,uniform,fp16,60.44632629287243,60.540586354937105,0.9998698418172098,-4.926704861846413e-05
43,uniform,fp16,60.8117868535993,60.84084954175265,0.9999380775982195,-4.11997976811322e-05
44,uniform,fp16,60.634581706374824,60.635467837741,0.999992485262138,-1.0945756189438986e-05
45,uniform,fp16,60.6550823446461,60.677127331294884,0.9999577249077778,-5.0662843695709634e-05
46,uniform,fp16,60.73067737059847,60.799696693014,0.9998880164332999,-2.7961794779052194e-05
