trial,standard_sqnr_db,bfp_sqnr_db
0,53.44461347469714,53.44461347469714
1,53.50697186224107,53.50697186224107
2,53.37445195884993,53.37711616184842
3,53.641275404461425,53.641275404461425
4,53.543193041567854,53.55179488882516
5,53.23169414648356,53.23169414648356
6,53.422364802985655,53.422364802985655
7,53.40293944103177,53.40293944103177
8,53.49117775385153,53.49117775385153
9,53.46519031670198,53.46519031670198
10,53.41129334579341,53.41129334579341
11,53.384572497505324,53.38464083901435
12,53.41967631574798,53.419718138901345
13,53.35759616802541,53.35759616802541
14,53.56380589949122,53.56380589949122
15,53.58459719607496,53.58459719607496
16,53.52972112662033,53.52972112662033
17,53.44620071051433,53.44620071051433
18,53.516673755901884,53.516673755901884
19,53.523419637376975,53.523419637376975
20,53.53098757846502,53.53098757846502
21,53.44019065694945,53.44019065694945
22,53.3992982081774,53.3992982081774
23,53.5216734826908,53.5216734826908
24,53.58797512136029,53.58797512136029
25,53.55001718466552,53.55001718466552
26,53.51866827705126,53.51448900536692
27,53.46522257126004,53.46522257126004
28,53.41063967467267,53.41063967467267
29,53.65623816303589,53.65689847347205
30,53.561205206645255,53.561205206645255
31,53.61695839628025,53.61695839628025
32,53.34537328696384,53.34365445023323
33,53.501395332319284,53.501395332319284
34,53.46088495598197,53.46088495598197
35,53.3840838173628,53.3840838173628
36,53.47677003876725,53.47677003876725
37,53.39278341835894,53.39278341835894
38,53.366794668960736,53.366794668960736
39,53.41307259275457,53.41307259275457
40,53.347091847824984,53.34688983025052
41,53.438846391957355,53.438846391957355
42,53.54664611708479,53.54664611708479
43,53.46027232992033,53.4572812635011
44,53.483990493867076,53.48393104146014
45,53.45517260537826,53.45517260537826
46,53.3555502990312,53.3555502990312
47,53.34292734164138,53.34292734164138
48,53.45518967332201,53.45518967332201
49,53.342087008840984,53.342087008840984
50,53.45534196865998,53.45534196865998
51,53.30308514620364,53.303787270754704
52,53.40027120892501,53.40027120892501
53,53.48869146372092,53.48869146372092
54,53.49415152871395,53.49415152871395
55,53.452472251461415,53.452530761466186
56,53.39405840220796,53.39405840220796
57,53.360684246898145,53.36042014390577
58,53.4266426796415,53.4266426796415
59,53.41832932904864,53.41832932904864
60,53.406148355823646,53.406148355823646
61,53.37677122720801,53.37677122720801
62,53.518035951496955,53.518035951496955
63,53.37171401392578,53.37171401392578
64,53.61758270669151,53.61944884424898
65,53.64063369185197,53.64047888662996
66,53.500288343464675,53.500288343464675
67,53.41878946702682,53.41878946702682
68,53.34050841576457,53.34050841576457
69,53.4598727731026,53.4598727731026
70,53.56155805554885,53.56155805554885
71,53.51908397815458,53.52070796487216
72,53.411186166498865,53.411186166498865
73,53.44798669331784,53.44798669331784
74,53.474402539079975,53.474402539079975
75,53.39871632343134,53.39871632343134
76,53.512605010059325,53.512605010059325
77,53.44774902183063,53.44774902183063
78,53.46553966410422,53.46553966410422
79,53.34971070934169,53.34971070934169
80,53.44369431518298,53.44369431518298
81,53.48273157616974,53.48273157616974
82,53.507001981067816,53.507001981067816
83,53.39558476819853,53.39558476819853
84,53.27187785165387,53.27187785165387
85,53.56070312823904,53.56070312823904
86,53.42305080660854,53.42305080660854
87,53.48397746166819,53.48397746166819
88,53.52718425237381,53.53061930339738
89,53.54387878819538,53.54387878819538
90,53.491186476398944,53.491186476398944
91,53.36447770294295,53.36447770294295
92,53.25560900800706,53.25560900800706
93,53.42501711122958,53.42501711122958
94,53.503278561810674,53.503278561810674
95,53.37490518529868,53.37490518529868
96,53.44760183249253,53.44760183249253
97,53.583077398827285,53.583077398827285
98,53.432370618360146,53.43306636080635
99,53.49802396154348,53.49769989646646
100,53.508254636192596,53.508254636192596
101,53.37607404632618,53.37607404632618
102,53.489920601785684,53.489920601785684
103,53.43786813732734,53.43786813732734
104,53.46065851344605,53.46065851344605
105,53.34957517716343,53.34957517716343
106,53.544924353643964,53.544924353643964
107,53.216836553829914,53.216836553829914
108,53.49261225527251,53.49261225527251
109,53.56317903506388,53.56317903506388
110,53.5329987186512,53.53395995756324
111,53.29385547947155,53.29385547947155
112,53.38445901900744,53.38326012281074
113,53.27554515983587,53.27554515983587
114,53.343315652473954,53.343315652473954
115,53.46307713947728,53.46307713947728
116,53.290917381767535,53.290917381767535
