signal_type,precision,N,raw_sqnr_mean,raw_sqnr_std,raw_sqnr_min,raw_sqnr_max,aligned_sqnr_mean,aligned_sqnr_std,aligned_sqnr_min,aligned_sqnr_max,alignment_gain_db,n_trials
uniform,fp16,256,61.21749828424283,0.3217470734276276,60.45601147780944,62.261535254085096,61.264921447475075,0.32443825348762395,60.468936447698674,62.34407396159856,0.04742316323224571,200
uniform,fp16,512,60.47529779395499,0.22073022125165953,59.93101705735867,61.13534530611446,60.53013606546122,0.2157881172800965,60.00722064829483,61.17536897223343,0.05483827150623455,200
uniform,fp16,1024,59.91637144745709,0.14832733251900498,59.45483027032148,60.20201974178758,59.938642791529304,0.14801003965145773,59.46698934983623,60.24542376603382,0.02227134407221598,200
uniform,fp16,2048,59.29378126088105,0.11490389081511047,58.92014077779165,59.60256061815113,59.33111319092739,0.11225683345915445,58.962376570655294,59.638033713596,0.037331930046342165,200
uniform,fp16,4096,56.41604836826541,0.07889491789545781,56.15018982985693,56.59609389088804,56.46440904044208,0.07839776193252476,56.20143691120944,56.66172143088864,0.048360672176670505,200
normal,fp16,256,61.469290050122346,0.3310418321845105,60.53022669114834,62.35860188647025,61.517625287174184,0.33071739882663503,60.55605190769569,62.396494844228414,0.04833523705183751,200
normal,fp16,512,60.68533468386687,0.195697769216229,60.18392458823186,61.19465077087132,60.746171785300454,0.1958951494306705,60.28464313185529,61.247324372927025,0.06083710143358445,200
normal,fp16,1024,60.08635521598879,0.15075986797766497,59.74641718741257,60.46082024756139,60.11162932082672,0.1520940861735271,59.77038550692188,60.49427930978183,0.025274104837933464,200
normal,fp16,2048,59.45924081543487,0.11638086036373074,59.13347777247737,59.82087086423127,59.49763758586628,0.11348014140370342,59.1716988460158,59.852482873068745,0.03839677043141165,200
normal,fp16,4096,56.481912442738064,0.08101933788426602,56.222605814587176,56.68963898568926,56.53029673381174,0.08027826569289911,56.27774236544057,56.742373242880156,0.048384291073674035,200
multitone,fp16,256,61.30032160492014,0.8265882272596747,58.03832008130259,63.37649434091187,61.5070559212289,0.8247196055694554,58.52977320931788,63.53980113792427,0.20673431630875427,200
multitone,fp16,512,60.43750189512787,0.692917775720609,58.96967706636965,62.62478477014223,60.610866826941326,0.6933737864762733,59.168952773351144,62.778303148196464,0.17336493181345247,200
multitone,fp16,1024,59.9729136288573,0.6830010632585733,58.2493308955674,62.43947255150524,60.12378589490905,0.6668971920585599,58.65750127650594,62.476447607836036,0.1508722660517492,200
multitone,fp16,2048,59.29066378457739,0.5867297388797722,57.41245591614603,61.0910525286938,59.40745938460584,0.5750477634423687,57.45929221368079,61.15339442918069,0.11679560002845335,200
multitone,fp16,4096,56.52446346398805,0.7391931233881341,54.80345772735728,58.55658568409829,56.608429076457014,0.7381997568406978,54.91617233789527,58.56487993081644,0.08396561246896539,200
impulse,fp16,256,424.0823996531185,0.0,424.0823996531185,424.0823996531185,424.0823996531185,0.0,424.0823996531185,424.0823996531185,0.0,200
impulse,fp16,512,427.0926996097584,1.1368683772161603e-13,427.0926996097583,427.0926996097583,427.0926996097584,1.1368683772161603e-13,427.0926996097583,427.0926996097583,0.0,200
impulse,fp16,1024,430.10299956639824,1.1368683772161603e-13,430.1029995663981,430.1029995663981,430.10299956639824,1.1368683772161603e-13,430.1029995663981,430.1029995663981,0.0,200
impulse,fp16,2048,433.11329952303794,0.0,433.11329952303794,433.11329952303794,433.11329952303794,0.0,433.11329952303794,433.11329952303794,0.0,200
impulse,fp16,4096,436.1235994796779,1.7053025658242404e-13,436.12359947967775,436.12359947967775,436.1235994796779,1.7053025658242404e-13,436.12359947967775,436.12359947967775,0.0,200
uniform,fp32,256,137.18350180345604,0.3389145797432677,136.3269378341314,138.16755702289757,137.5887876662624,0.347374955172748,136.57281891373123,138.50468832699175,0.4052858628063518,100
uniform,fp32,512,135.3960479417219,0.24028585259870494,134.78865981240017,136.0035098436865,135.81404018457314,0.24499903053610522,135.18451455122073,136.40752686778475,0.41799224285125547,100
uniform,fp32,1024,134.63034238161515,0.17475086546716181,134.1177913821703,135.15750843841155,135.2979669985727,0.16628607516283056,134.8373474450591,135.83995131783436,0.6676246169575393,100
uniform,fp32,2048,134.9507159321846,0.11090703444704304,134.6870262490437,135.2400837305804,135.50904553378362,0.10798307361979413,135.23882529953286,135.81717697746083,0.5583296015990129,100
uniform,fp32,4096,134.57484089494278,0.08771291440299167,134.3636919452749,134.78940745974023,135.1122029529757,0.08772538362326993,134.91837213157677,135.3363177549367,0.5373620580329259,100
