trial,signal_type,precision,raw_sqnr_db,aligned_sqnr_db,alpha_real,alpha_imag
0,uniform,bf16,53.111213728526025,53.11177724739197,0.9999790152143581,-1.3908555170109442e-05
1,uniform,bf16,52.98618734080662,52.98953547892576,0.9999384252361304,9.096413877545556e-06
2,uniform,bf16,53.10537362222853,53.10780121525007,1.0000410933089305,3.232900513673333e-05
3,uniform,bf16,53.14133627824519,53.14206864065775,0.999973603120026,-1.1009076425872084e-05
4,uniform,bf16,53.130575194964194,53.13066862002347,1.000002526035069,9.911644947886987e-06
5,uniform,bf16,53.11522710288588,53.11812445309889,1.0000569184868133,3.957042846671101e-06
6,uniform,bf16,53.12385517095474,53.125914720074796,1.0000394467872884,2.745078205336409e-05
7,uniform,bf16,53.100304413489084,53.103610427855834,1.000060462840498,8.450802320155299e-06
8,uniform,bf16,53.03203525909899,53.03312535764511,1.0000318205738696,1.5366750098951883e-05
9,uniform,bf16,53.19911383851835,53.20155388380425,1.0000453803797842,-2.5096063011976572e-05
10,uniform,bf16,53.112760661449855,53.1142226059115,0.9999951721072143,4.025280624336345e-05
11,uniform,bf16,52.997977683782196,53.00500831626131,1.0000891437833808,1.2869311907234954e-05
12,uniform,bf16,53.07757698056208,53.080207376502514,0.9999910895778575,-5.38652696634241e-05
13,uniform,bf16,53.087992878058934,53.09298387090734,1.000057184845564,4.8698426322050145e-05
14,uniform,bf16,52.976206312612,52.98445910109369,0.9999069658196263,3.0167414158466366e-05
15,uniform,bf16,53.0789075357525,53.0789870409318,0.9999988684509208,-9.4243350703772e-06
16,uniform,bf16,53.075002529389835,53.07626165799793,1.0000201744089192,3.195370632725126e-05
17,uniform,bf16,53.11951986876294,53.12102993978214,0.9999679409203373,-2.582976836810925e-05
18,uniform,bf16,53.02811651616595,53.03364301969403,1.000079572814018,-1.3229759655761637e-06
19,uniform,bf16,53.02407796763149,53.0241083013713,0.9999986924547211,5.753492587409482e-06
20,uniform,bf16,53.0967219480401,53.1090324313852,1.0001093839331652,-4.3729935443316206e-05
21,uniform,bf16,53.06987465363101,53.07003919265361,1.0000073128142002,1.1548792099432381e-05
22,uniform,bf16,53.09941530916652,53.09960133960124,1.0000144853618562,4.850116264707341e-08
23,uniform,bf16,53.20842201880911,53.21007798054575,0.9999849413338715,-3.992894432585502e-05
24,uniform,bf16,53.03676086711617,53.03708666633923,0.9999810996261685,3.944799492929567e-06
25,uniform,bf16,52.980408983996895,52.980710592686684,1.0000057102155104,-1.780519760839207e-05
26,uniform,bf16,53.03482406012552,53.03555869789636,1.0000287897335864,-3.4861334077088274e-06
27,uniform,bf16,53.13129636636218,53.13978876834941,1.0000933659188447,2.7998836896653407e-05
28,uniform,bf16,53.10957100691322,53.11124075896715,0.9999775448211626,-3.707099254854471e-05
29,uniform,bf16,53.09711206956458,53.09948233899016,0.9999487501417738,6.879553378705907e-06
30,uniform,bf16,53.15837794395606,53.159887011915956,1.0000301958557558,2.7697784580224864e-05
31,uniform,bf16,53.104432473484344,53.10633202506172,1.0000432849173515,-1.6315384133161727e-05
32,uniform,bf16,53.03714882099822,53.038029875415546,0.9999814201037869,-2.5743981512558394e-05
33,uniform,bf16,53.12598415039494,53.12785010829178,0.9999544398562622,3.929195694545342e-06
34,uniform,bf16,53.01934864224047,53.021784880554094,0.9999553751673,2.8400506217481703e-05
35,uniform,bf16,53.132533524792876,53.132585238455206,1.0000068843358132,3.2391150970871047e-06
36,uniform,bf16,53.01581561423013,53.01712062856975,0.999963852293697,-1.3912701530901595e-05
37,uniform,bf16,52.93601690140547,52.94001834716006,0.9999644761056401,-5.849696430062188e-05
38,uniform,bf16,53.12079462678942,53.12223163165384,0.999967825022772,2.4026234236301728e-05
39,uniform,bf16,52.898023590386245,52.89802511050664,0.9999987425454379,-4.6341159060206074e-07
40,uniform,bf16,53.11447412077222,53.11613350534367,1.0000253332155637,-3.497330687024955e-05
41,uniform,bf16,53.04240413740658,53.04308150835438,1.0000181856519244,2.1056167782669102e-05
42,uniform,bf16,53.016876061903,53.01784809661139,0.9999676195670183,8.289680297780157e-06
43,uniform,bf16,52.955399259868486,52.95540216733562,0.9999981644887144,1.4432848201376923e-07
44,uniform,bf16,53.109909797298414,53.1105664416075,1.0000257242728687,8.780387108156144e-06
45,uniform,bf16,52.98467576202388,52.99067406937234,1.0000833222454997,6.875071951749721e-07
46,uniform,bf16,53.119284417619795,53.119962408204636,0.9999771181505593,-1.541271196231965e-05
47,uniform,bf16,53.03964269385159,53.03999057607261,1.000006182063433,-1.8962867453585294e-05
48,uniform,bf16,53.0534651811855,53.055693072862994,0.9999508733028675,1.119228808397292e-05
49,uniform,bf16,53.08261284548621,53.08390599149448,0.9999713852540956,2.5398957488881082e-05
50,uniform,bf16,53.0648672090352,53.06659904754539,1.0000431739640478,-1.0234919903663191e-05
51,uniform,bf16,53.042295249578416,53.04439714416066,0.9999633561891339,3.25364271466142e-05
52,uniform,bf16,52.99621132406263,52.998475939032765,0.9999545229027947,2.3380185008533497e-05
53,uniform,bf16,53.173675208130085,53.17543854638206,1.0000423544019905,-1.2690527391842283e-05
54,uniform,bf16,52.94974503613042,52.95228411095816,0.9999516793335764,-2.506467943168372e-05
55,uniform,bf16,53.10014994157473,53.10125336949427,0.9999969232137819,3.5138722323680044e-05
56,uniform,bf16,53.21873080018648,53.22020157778514,0.9999851304134766,3.731661996971637e-05
57,uniform,bf16,53.101746048597136,53.10234281529985,0.9999830217474764,-1.9606394882775467e-05
58,uniform,bf16,53.10889748417406,53.11515031212795,0.9999182627081477,-1.8710351811589005e-05
