trial,signal_type,precision,raw_sqnr_db,aligned_sqnr_db,alpha_real,alpha_imag
0,uniform,fp32,135.4621677780405,135.8878193374857,1.00000004751106,1.992398066279505e-08
1,uniform,fp32,135.69601094736296,136.09530412942155,1.0000000450332072,1.839691734013171e-08
2,uniform,fp32,135.43792576280498,135.76495252781112,1.00000004100252,1.9812864692199288e-08
3,uniform,fp32,135.13109007939966,135.50908684257973,1.0000000472844424,1.7938173048831483e-08
4,uniform,fp32,135.1066980563969,135.65793302511952,1.0000000550996406,2.533842118062004e-08
5,uniform,fp32,135.73226906214762,136.18043244258493,1.0000000455605862,2.3316957409793947e-08
6,uniform,fp32,135.5845553578373,136.03340123605489,1.0000000495983754,1.593713310710445e-08
7,uniform,fp32,135.21806048321582,135.51144241028405,1.0000000399054456,1.9289263226082883e-08
8,uniform,fp32,135.67654708761896,136.01013592328272,1.0000000408752394,1.8165822921006543e-08
9,uniform,fp32,135.0932390346501,135.47579727365044,1.0000000460899554,2.2033698148744194e-08
10,uniform,fp32,135.36703505792468,135.83660117111373,1.000000050938971,1.9579101349556047e-08
11,uniform,fp32,135.2217132407049,135.5598667631477,1.0000000438040657,1.822430442205699e-08
12,uniform,fp32,135.4903830903829,136.12808607179122,1.000000056987216,2.469639086034639e-08
13,uniform,fp32,135.23447463320085,135.63041017955103,1.0000000480435045,1.739131983960427e-08
14,uniform,fp32,135.49643530294955,135.8285911952021,1.0000000412955887,1.92758443528754e-08
15,uniform,fp32,135.4047173780371,135.87020902777863,1.000000048959187,2.304604190496728e-08
16,uniform,fp32,135.35386456644554,135.80895283129794,1.000000048554,2.3287693156979843e-08
17,uniform,fp32,135.1463691555319,135.59933118415753,1.000000049670622,2.3686761384498598e-08
18,uniform,fp32,135.62472880603718,136.10186861556775,1.0000000461605292,2.6806389559753637e-08
19,uniform,fp32,135.119032076601,135.46986458844825,1.0000000463461496,1.5484965180946148e-08
20,uniform,fp32,135.54652404739147,135.9890801142433,1.0000000475935722,2.0887063102742076e-08
21,uniform,fp32,135.56587666507343,135.82152361978152,1.000000033508374,2.154267688438237e-08
22,uniform,fp32,134.84868026106182,135.34570728793423,1.000000050506638,3.146389892141237e-08
23,uniform,fp32,135.55011077585507,135.9299107235949,1.000000040739626,2.5946990510391644e-08
24,uniform,fp32,135.77381963680932,136.03694808418228,1.00000003587924,1.638074948967536e-08
25,uniform,fp32,135.7661782215568,136.23428247506536,1.0000000487096166,1.8329678193490412e-08
26,uniform,fp32,135.6182586040996,136.0845032233583,1.00000004926518,1.910086451295962e-08
27,uniform,fp32,135.44093064160288,135.90397305714666,1.0000000465350807,2.6903816070628097e-08
28,uniform,fp32,135.31504032268504,135.88053874099876,1.000000054740116,2.4375913174257013e-08
29,uniform,fp32,134.99926022845855,135.49566670545994,1.0000000543385152,2.152963602429962e-08
30,uniform,fp32,135.3457515421678,135.8487489776421,1.0000000537661018,1.7405274950384556e-08
31,uniform,fp32,135.22246661298175,135.54029998936173,1.0000000407635308,2.14130758388539e-08
32,uniform,fp32,135.15995783951823,135.52312457697133,1.0000000462135692,1.7589552342670726e-08
33,uniform,fp32,136.0035098436865,136.40752686778475,1.0000000417603692,2.203716437294787e-08
