trial,signal_type,precision,raw_sqnr_db,aligned_sqnr_db,alpha_real,alpha_imag
0,normal,fp16,59.84409510022945,59.88040023928829,1.0000550487612436,-7.483040373188469e-05
1,normal,fp16,60.127693850325585,60.15405796590016,1.0000711185431361,-2.8632303119950797e-05
2,normal,fp16,60.10564107403261,60.14931829653884,1.0000843132443429,-5.156655486330239e-05
3,normal,fp16,60.35163348834861,60.369566043347575,0.9999990226988547,-6.163739668059281e-05
4,normal,fp16,59.98922095601234,59.99935316847516,1.0000302669237382,-3.768496725731927e-05
5,normal,fp16,60.05573491664356,60.09618187975402,1.0000873321902592,-3.9070619245807366e-05
6,normal,fp16,60.03586043176084,60.07075713219058,1.0000285009557195,-8.441214981107447e-05
7,normal,fp16,59.97994327516591,60.01280508788567,1.0000677620072547,-5.461130184308575e-05
8,normal,fp16,60.212194991487436,60.25427915636111,1.0000891649428656,-3.5140396425874724e-05
9,normal,fp16,59.94061409735211,59.94774865187536,1.0000397449404825,-9.1932773655269e-06
10,normal,fp16,59.89210675442465,59.91958245841619,1.0000611119221148,-5.226195740458414e-05
11,normal,fp16,60.16457765830046,60.22853147653847,1.0001113026133184,-4.1101082646167984e-05
12,normal,fp16,60.22408791636762,60.235099993434986,1.000042676214819,-2.4166232439751876e-05
13,normal,fp16,60.15798840219293,60.16799185569162,1.0000100863718961,-4.6009230245043185e-05
14,normal,fp16,60.15312798370269,60.192685845370875,1.0000598893675046,-7.188441039242694e-05
15,normal,fp16,60.02316723885225,60.03315670360002,0.9999948957814538,-4.753123665451112e-05
16,normal,fp16,60.10249495233935,60.12313544811632,1.0000487453546583,-4.7488233059877695e-05
17,normal,fp16,60.299961758425844,60.33691191070461,1.0000514258673092,-7.254513591721117e-05
18,normal,fp16,60.18525270318479,60.20683570480423,1.0000653991607529,-2.176931857314339e-05
19,normal,fp16,60.22802072952584,60.23512372423064,1.0000231988925916,-3.181957894352371e-05
20,normal,fp16,60.229140123335654,60.25763397074861,1.0000507308264823,-6.025284452340627e-05
21,normal,fp16,59.893585938794004,59.92930895524974,1.00006714507749,-6.235115589689022e-05
22,normal,fp16,60.01599828290004,60.07625982731433,1.0001131626596296,-3.04396831447648e-05
23,normal,fp16,60.08950748734836,60.189567503604835,1.000147726744068,-2.2250727144071567e-05
24,normal,fp16,60.12975564085409,60.13569803802198,1.000034237227878,-1.2450206463813556e-05
25,normal,fp16,60.09642815112686,60.146969666089404,1.0000803414330408,-6.97364783257961e-05
26,normal,fp16,60.15416201688578,60.159010100283595,1.0000139581907135,-2.9698156918998265e-05
27,normal,fp16,60.16968544504053,60.186164975320004,1.000058268596985,-1.5730099381926655e-05
28,normal,fp16,60.33542758011407,60.36020383821146,1.000067679438836,-2.6193219182936793e-05
29,normal,fp16,60.209388568140284,60.23682712878811,1.000071627874501,-2.952815209747538e-05
30,normal,fp16,60.174291744556925,60.17560813102339,1.0000128848831105,-1.1186110268370358e-05
31,normal,fp16,60.029730181946086,60.03511850682511,1.0000323017298316,-1.3717075389685032e-05
32,normal,fp16,60.15614065600617,60.23033750314134,1.0000943073218398,-8.631554390146384e-05
33,normal,fp16,60.06901788657143,60.08271498018895,1.000017243487123,-5.2934199768640315e-05
34,normal,fp16,59.777642628483534,59.781887334325674,1.000031763567237,-4.400454235994663e-06
35,normal,fp16,60.0620331624103,60.06591528055111,0.9999718125754918,-9.286551078465879e-06
36,normal,fp16,60.23398266047838,60.26993183682241,1.0000720612546365,-5.1179799413387184e-05
37,normal,fp16,60.18796780889105,60.19460718538356,1.0000008961688287,-3.823741210359266e-05
38,normal,fp16,60.10999126593481,60.1452511541763,1.0000549925280993,-6.97172743283821e-05
39,normal,fp16,59.824927170517135,59.84700538273907,1.0000570140364144,-4.504878844185749e-05
40,normal,fp16,59.94717098849123,59.971354840247784,1.0000622272030428,-4.182707656695496e-05
41,normal,fp16,60.12688874749508,60.14889296513303,1.0000565285131262,-4.1393337208896136e-05
42,normal,fp16,60.46082024756139,60.49427930978183,1.0000801343193266,-2.1945676056945036e-05
43,normal,fp16,60.11603522631846,60.1290193575631,1.0000436698212178,-3.1618688870285895e-05
44,normal,fp16,60.17542861819522,60.20682271383962,1.0000756072048949,-3.467202142019143e-05
45,normal,fp16,60.079631484930836,60.0992062691676,1.0000634895843035,-1.962266189330611e-05
46,normal,fp16,60.013454451709606,60.02766374237207,1.0000483368382558,-3.0335256958670454e-05
47,normal,fp16,60.29989540336175,60.31361148982343,1.000016740688645,-5.1601534120741264e-05
48,normal,fp16,60.126056439367915,60.176732761520654,1.0000986611479685,-3.920677212926651e-05
49,normal,fp16,60.116575863823584,60.14230563260506,1.0000572602887343,-4.972380634319632e-05
50,normal,fp16,60.06731656529304,60.13760253178488,1.0001019732585479,-7.356264273835768e-05
51,normal,fp16,60.23755451319521,60.27587725714155,1.0000496446579266,-7.651091248448032e-05
52,normal,fp16,60.03699661629725,60.08454616193792,1.0000618131668488,-8.35289160255535e-05
53,normal,fp16,60.02541657279256,60.061440407227195,1.0000603991004322,-6.756651574024008e-05
54,normal,fp16,60.328136521612386,60.349301097376504,1.0000308934088773,-5.96118069808125e-05
55,normal,fp16,59.968836925928464,60.01010283981584,1.0000455708679923,-8.630819139772588e-05
56,normal,fp16,59.94935969117474,59.98488274971991,1.0000641502483676,-6.424546390683107e-05
57,normal,fp16,60.103539642372695,60.11758976463038,1.00004731806082,-3.025130752649352e-05
58,normal,fp16,60.03471048007591,60.05374641854411,1.0000657633985466,-3.8116827206273777e-06
59,normal,fp16,60.09037448666784,60.11771059308964,1.000056808883527,-5.4026252167090866e-05
60,normal,fp16,60.157126731363284,60.173779217428766,1.0000314116002518,-5.200572257651526e-05
61,normal,fp16,60.01438225236805,60.029630585172946,1.0000549126809386,-2.1870040477571116e-05
62,normal,fp16,59.77994677278087,59.79730870431024,0.9999978060145438,-6.474790377373935e-05
63,normal,fp16,60.229289777179524,60.25678035178717,1.0000694110826818,-3.4181677212948456e-05
64,normal,fp16,60.05190756048826,60.07547503196092,1.0000305088639023,-6.646168205559316e-05
65,normal,fp16,59.994470006774485,60.027588003872,1.00004534371708,-7.450518603170227e-05
66,normal,fp16,60.273724787404674,60.29516217391424,1.0000492933535408,-4.6838396786550815e-05
67,normal,fp16,60.26720858275735,60.30039009488433,1.0000716791299,-4.494627359923852e-05
68,normal,fp16,60.238087043748756,60.25586285199854,1.000046171873764,-4.1656745828823094e-05
69,normal,fp16,60.06569755440072,60.08969935251908,1.0000564083959311,-4.740611573678383e-05
70,normal,fp16,60.14672799344363,60.15252088066699,0.9999966894062965,-3.574524252579563e-05
