trial,standard_sqnr_db,bfp_sqnr_db
0,57.09747881519128,57.09747881519128
1,56.992970054539065,56.992970054539065
2,57.18230435254847,57.18230435254847
3,56.872465846277,56.872465846277
4,57.26967987925814,57.26967987925814
5,57.197488033710535,57.197488033710535
6,57.25817965064151,57.25817965064151
7,57.10324144308623,57.10324144308623
8,57.083239137547764,57.083239137547764
9,57.10770735529572,57.10770735529572
10,57.40199501831984,57.40199501831984
11,57.17158361296835,57.17158361296835
12,57.14561069635201,57.14561069635201
13,57.153718652542416,57.153718652542416
14,56.87180800902037,56.87180800902037
15,57.25349485012188,57.25349485012188
16,57.16345513381238,57.16345513381238
17,57.21757500684268,57.21757500684268
18,56.94879766707243,56.94879766707243
19,57.167821566290385,57.167821566290385
20,57.23788854418892,57.23788854418892
21,57.14437219948061,57.14437219948061
22,57.10569999413471,57.10569999413471
23,57.34714185750735,57.34714185750735
24,57.07346496344611,57.07346496344611
25,57.08157703755258,57.08157703755258
26,57.04437437009653,57.04437437009653
27,57.04561800933101,57.04561800933101
28,57.19506960160463,57.19506960160463
29,57.07229999898392,57.07229999898392
30,56.96076017226454,56.96076017226454
31,56.99348455429458,56.99348455429458
32,57.39924516206263,57.39924516206263
33,57.12307755018302,57.12307755018302
34,57.26789997706676,57.26789997706676
35,57.07637335003945,57.07637335003945
36,57.43335103868297,57.43335103868297
37,56.760680665997526,56.760680665997526
38,56.94311976936576,56.98095517959644
39,57.12119154179681,57.12119154179681
40,56.876290853310074,56.876290853310074
41,57.15554521036246,57.15554521036246
42,57.25225522241854,57.25225522241854
43,56.895774004431026,56.895774004431026
44,56.90259704168349,56.90259704168349
45,56.865063588124805,56.865063588124805
46,57.09791234448637,57.09791234448637
47,57.2072127628763,57.2072127628763
48,57.09820871976659,57.09820871976659
49,57.105437283771096,57.105437283771096
50,57.10681211737945,57.10681211737945
51,57.00972938986706,57.00972938986706
52,57.18255846450269,57.18255846450269
53,57.219813455381114,57.219813455381114
54,57.52659379725492,57.52659379725492
55,57.243663407035505,57.243663407035505
56,57.11323915180735,57.11323915180735
57,57.196480597114686,57.196480597114686
58,57.07911166991245,57.07911166991245
59,57.20008822059996,57.20008822059996
60,57.329473674238,57.329473674238
61,56.999715717647206,57.00077190567171
62,57.03373700706493,57.03373700706493
63,57.13595117403628,57.13595117403628
64,57.054082735683096,57.054082735683096
65,57.0984015502788,57.0984015502788
66,57.0805035741353,57.0805035741353
67,57.14332719512204,57.14332719512204
68,56.85241278459041,56.85241278459041
69,56.99359782179737,56.99359782179737
70,57.240649112754234,57.240649112754234
71,57.18445104745895,57.18445104745895
72,57.14530710882099,57.14530710882099
73,56.77836216456727,56.77836216456727
74,57.303403853692814,57.303403853692814
75,56.97546504328032,56.97546504328032
76,57.20948306005443,57.20948306005443
77,57.666268127549635,57.666268127549635
78,57.073510160746764,57.073510160746764
79,56.86709508831449,56.86709508831449
80,56.87273905285609,56.87273905285609
81,56.82167401519408,56.82167401519408
82,57.015419750958586,57.015419750958586
83,57.0819312792341,57.0819312792341
84,57.15360617428605,57.15360617428605
85,56.85042635007292,56.85042635007292
86,57.30368273780893,57.30368273780893
87,57.06088031685064,57.06088031685064
88,57.38861379699998,57.38861379699998
89,56.78917669331067,56.78917669331067
90,57.32740014095771,57.32740014095771
91,57.06487364873101,57.06487364873101
92,57.11164491295773,57.11164491295773
93,57.05688636821991,57.05688636821991
94,56.89031237156381,56.89031237156381
95,57.24345431757741,57.24345431757741
96,56.934319468358304,56.934319468358304
97,57.1088835930869,57.1088835930869
98,57.431924068488264,57.431924068488264
99,57.057570795251635,57.057570795251635
100,57.118513352216986,57.118513352216986
101,57.176934005547686,57.176934005547686
