trial,raw_sqnr_db,aligned_sqnr_db,alpha_real,alpha_imag
0,56.36358775811593,56.40302208842997,1.0001084225862642,-9.555413855263195e-05
1,56.358807530959076,56.405439226704075,1.000120099698279,-0.00010139756493241517
2,56.293780934795336,56.342666443406124,1.0001179472739563,-0.00011122813953568262
3,56.376485741219675,56.399497320281704,1.000059847060012,-9.269227044994944e-05
4,56.2455534090096,56.30866914993809,1.0001597621361291,-9.346625255944901e-05
5,56.436853293141674,56.480983362997506,1.0001064206707426,-0.00010790856190003294
6,56.28355078230223,56.325138523850605,1.000114521617013,-9.651840586134883e-05
7,56.500957239267755,56.56326146401114,1.0001397919754618,-0.00011112043319503012
8,56.413157333247426,56.47915521985969,1.0001649964462365,-8.504856886734074e-05
9,56.37209750521617,56.413134186622436,1.0001133772029893,-9.398938857543227e-05
10,56.362932398143705,56.40868570277068,1.000113121526417,-0.00010687679149050454
11,56.33354129417188,56.39892330138078,1.000138024550828,-0.00012536706744896035
12,56.35317690803868,56.39886533865606,1.0001271483001284,-8.985179593307377e-05
13,56.40506994578224,56.45685935449251,1.0001284540564686,-0.00010310746311372707
14,56.356708282610704,56.39970544705307,1.0000938053880484,-0.00011832041570978736
15,56.52272174611955,56.570907798656506,1.0001203293334697,-0.00010049775012262841
16,56.458473356330146,56.5059519580592,1.0001234881374925,-9.660155452594311e-05
17,56.35203093517035,56.39668763695383,1.000108243466235,-0.00010947223327424898
18,56.3982142574975,56.45213834932033,1.0001290105775607,-0.0001079069575458007
19,56.459565724031016,56.49154923857654,1.0000925082628436,-8.958473584290081e-05
20,56.29468930442778,56.344698783886635,1.000116456650148,-0.00011539598834474245
21,56.32885253887525,56.37198294558517,1.0001085348711922,-0.00010600702602562472
22,56.26202314393861,56.33278234696778,1.000157940420555,-0.00011525867981833689
23,56.401544125912494,56.435503109246206,1.0000832257612091,-0.00010446708403221568
24,56.41348221600034,56.43540049453521,1.0000607726318798,-8.834562819255629e-05
25,56.401876590279166,56.45230269774536,1.000102059474926,-0.00012658366684263763
26,56.3304552652044,56.38641870449639,1.000135814094451,-0.00010661626886406903
27,56.2842989986101,56.32601742796158,1.0001168723830285,-9.401185846528033e-05
28,56.33578446217231,56.38691665829122,1.0001235842448117,-0.00010930140419107395
29,56.395097105330876,56.470307990440446,1.0001631811812044,-0.00011296388821382001
30,56.44483686051422,56.49606303898787,1.000119803666137,-0.00011063569595839275
31,56.44261645513777,56.48853810832836,1.0001341386273745,-7.663988385348523e-05
32,56.515627450057195,56.57153837211383,1.000123936709115,-0.00011480618548843962
33,56.43869935884865,56.49369010582474,1.0001228453098354,-0.00011612363722414491
34,56.39258769523003,56.446890257206604,1.0001340466721111,-0.00010273093888974774
35,56.27757078487448,56.34461731007182,1.0001635614852045,-9.673595161837927e-05
36,56.28909532763473,56.326150647914034,1.0001067511633812,-9.260211852863449e-05
37,56.22022768743864,56.25744307741841,1.0001014432455146,-0.00010043156937883964
38,56.36855241072709,56.39798402301261,1.00008470283201,-9.172238964779515e-05
39,56.464283081408404,56.50402064904264,1.0001000769314348,-0.00010270263499010575
40,56.3781189343575,56.423148615852796,1.0001053819437866,-0.00011246836402664579
41,56.35530009353851,56.417143771837885,1.0001405681154598,-0.0001139115767415308
42,56.35207385860765,56.39514615959368,1.0001133406507057,-0.00010008991012979477
43,56.33284078295753,56.37246386528963,1.0001075826814068,-9.77783075613291e-05
44,56.410144208711,56.43658948277682,1.0000952343195628,-6.933924763563211e-05
45,56.41456744104445,56.446093342751226,1.0000866679849334,-9.489739959791091e-05
46,56.18964083907872,56.216946727540005,1.0000660609037575,-0.00010348443577193618
47,56.36449147201334,56.42413125031513,1.0001489493961226,-9.65634947148993e-05
48,56.386384358991094,56.4366809271618,1.000110026835172,-0.00011983652804412737
49,56.33850345860918,56.377929580630635,1.000106635891839,-9.813966502810605e-05
50,56.380176133531144,56.43188994899564,1.0001157565092977,-0.00011767627155811526
51,56.42564930205541,56.4987725149014,1.0001573440877076,-0.00011523300054168994
52,56.309315939977026,56.350773115912006,1.0001064647910523,-0.00010437212066153905
53,56.34223769390332,56.3795218891628,1.0000998185488397,-9.942529464129279e-05
54,56.28944568323999,56.33562313852902,1.000127512008584,-9.274141325762987e-05
55,56.38007045049935,56.41278940336338,1.0001015920391876,-8.340155638421571e-05
56,56.364299959532495,56.39758440943041,1.0000733576168026,-0.00011070600330395443
57,56.37982941247368,56.427719102294496,1.0001131220641268,-0.00011157404787449994
58,56.356916112640505,56.431595314899724,1.00017129418119,-0.00010058427755461457
59,56.39892141336286,56.44615400609901,1.0001195333441357,-0.00010248769500908712
60,56.42597237558977,56.47041013372273,1.0001207827164733,-9.273172059300508e-05
61,56.36013234960576,56.40807225778575,1.0001214898995427,-0.00010308833091288882
62,56.37461665269197,56.4243258801336,1.000103608460447,-0.0001244802217165304
63,56.370210166075424,56.408008158103726,1.000104162694208,-9.561693310140546e-05
64,56.38898387889719,56.43380728711344,1.0001081192991381,-0.00010907564122295158
65,56.321915860920114,56.37403443689901,1.000151618502457,-6.959836035038617e-05
66,56.38551297166551,56.43817128882403,1.0001304181615052,-0.000103439613668431
67,56.372409380082935,56.439823642780674,1.0001549603364428,-0.00010728075087873692
