trial,signal_type,precision,raw_sqnr_db,aligned_sqnr_db,alpha_real,alpha_imag
0,uniform,fp32,134.5313819023357,135.0823049347734,1.0000000645505185,5.475795292787586e-09
1,uniform,fp32,134.63689731623845,135.14655837356372,1.000000061357794,6.491511858834134e-09
2,uniform,fp32,134.67350244403133,135.16603595781538,1.0000000598430554,8.600964218792006e-09
3,uniform,fp32,134.4751695006421,135.0356684350385,1.0000000653478474,7.093516241159667e-09
4,uniform,fp32,134.5378224053255,135.10336835439338,1.0000000649761518,8.531166193465834e-09
5,uniform,fp32,134.66402805351748,135.26186808159588,1.000000065957851,6.5914987679127064e-09
6,uniform,fp32,134.70404813857266,135.20970938485547,1.00000006054016,7.460496150158505e-09
7,uniform,fp32,134.56835920561775,135.03459947221995,1.0000000595091223,3.747687305670064e-09
8,uniform,fp32,134.46356246700893,135.04219214193446,1.0000000663653035,7.673521519282006e-09
9,uniform,fp32,134.4030015448968,134.91837213157677,1.0000000634610664,5.714064521830337e-09
10,uniform,fp32,134.6395679422747,135.15226763905432,1.000000061563419,5.991203584528611e-09
11,uniform,fp32,134.5724081661207,135.12963627388922,1.0000000642622149,8.500294203683633e-09
12,uniform,fp32,134.47738034820313,135.06358039481933,1.0000000668435074,5.947535881064093e-09
13,uniform,fp32,134.7219968076525,135.1397940947522,1.0000000552941086,5.8908716553129075e-09
14,uniform,fp32,134.48441022322984,135.11167033681735,1.000000068824393,7.219032462736608e-09
15,uniform,fp32,134.60880952966855,135.15487615199729,1.0000000633923047,8.361074578809451e-09
16,uniform,fp32,134.58945572727143,135.14596282194196,1.0000000643574551,6.202230772856093e-09
17,uniform,fp32,134.55128992252068,135.12332607102707,1.0000000654780337,6.3229772828604595e-09
18,uniform,fp32,134.6012947888593,135.12003964878838,1.0000000622447434,5.315466300664697e-09
19,uniform,fp32,134.6724962540338,135.21302151254912,1.0000000629201233,5.6248521254660835e-09
20,uniform,fp32,134.60190569674774,135.10832980642337,1.0000000615487143,5.146913555968563e-09
21,uniform,fp32,134.61423529366354,135.063591953427,1.0000000578999098,6.6863870687736254e-09
22,uniform,fp32,134.51837404393882,135.03120940991442,1.0000000623069127,7.2834636568607596e-09
23,uniform,fp32,134.78760146424884,135.32261278199445,1.0000000618192246,5.2284073950827675e-09
24,uniform,fp32,134.43065586177144,135.0082672276318,1.0000000665065825,8.16441497738215e-09
25,uniform,fp32,134.62433228245865,135.13045791265392,1.0000000610508613,8.109880096947625e-09
26,uniform,fp32,134.56263038273147,135.08352607699683,1.0000000627093966,4.523296344846084e-09
27,uniform,fp32,134.45386469449608,134.91880764836105,1.0000000601125048,5.217531880957178e-09
28,uniform,fp32,134.5648626026175,135.06315051918475,1.0000000611439108,7.106398335318056e-09
29,uniform,fp32,134.58382217308613,135.18279787742773,1.000000066338373,9.106941326354743e-09
30,uniform,fp32,134.64103918375193,135.16189024311586,1.0000000620498843,5.6303148243388664e-09
31,uniform,fp32,134.68704520673842,135.21035148055006,1.0000000614908284,8.769188555876243e-09
32,uniform,fp32,134.47918386603135,134.99621416832966,1.000000062680307,8.522749016825303e-09
33,uniform,fp32,134.5743513953787,135.11213560173854,1.0000000634705495,5.8167880195142175e-09
34,uniform,fp32,134.61204252701413,135.1794424103242,1.0000000646243628,7.652237804621007e-09
35,uniform,fp32,134.56466107695127,135.13521567549904,1.0000000651579188,7.618437377906307e-09
36,uniform,fp32,134.4543280239071,135.01266250110592,1.0000000654142858,6.834048945097081e-09
37,uniform,fp32,134.57474632607077,135.14352383237252,1.000000064889796,8.391097317818506e-09
38,uniform,fp32,134.57376207089456,135.10166043693263,1.0000000625269296,9.112766910227746e-09
39,uniform,fp32,134.5762343940258,135.10346599097682,1.0000000626413317,7.855596081891962e-09
40,uniform,fp32,134.47132984947922,135.05028364599863,1.0000000661906956,8.739899624000947e-09
41,uniform,fp32,134.5717081168035,135.17778142821814,1.000000066861734,8.683150272313182e-09
42,uniform,fp32,134.66909167711052,135.23463768022398,1.0000000641520612,7.16423450287525e-09
43,uniform,fp32,134.54074708232883,135.14124616038416,1.0000000668898064,8.056162576443284e-09
44,uniform,fp32,134.6124080672489,135.13550183225337,1.0000000624282324,5.110090155216119e-09
45,uniform,fp32,134.61623541634805,135.10965445069593,1.0000000606621346,5.484343141234784e-09
46,uniform,fp32,134.57681531781765,135.10168532796922,1.0000000625752987,7.256206106556377e-09
47,uniform,fp32,134.6736874994614,135.22469305625924,1.0000000635728243,4.531400501575312e-09
48,uniform,fp32,134.5118455589693,135.1295485288949,1.000000068181795,6.521270210609813e-09
49,uniform,fp32,134.56787505656078,135.1448926825578,1.000000065322861,8.881714440404219e-09
50,uniform,fp32,134.53850395964258,135.01830913397484,1.0000000602874206,6.6214097835719616e-09
51,uniform,fp32,134.78940745974023,135.3363177549367,1.0000000623449612,6.3838365391297725e-09
52,uniform,fp32,134.47484804454817,134.98482071901043,1.0000000625753784,6.18461973007534e-09
53,uniform,fp32,134.548067532956,135.0095599945381,1.000000059008234,7.455467480281554e-09
54,uniform,fp32,134.50568098333784,135.02235350974877,1.0000000627392776,6.189526474855234e-09
55,uniform,fp32,134.64729219386788,135.1944597726755,1.000000063341013,6.928669670453429e-09
56,uniform,fp32,134.63580784815323,135.16742413316297,1.0000000626216827,6.37240338373928e-09
57,uniform,fp32,134.3636919452749,134.99035908861092,1.0000000697635965,7.2530717495988226e-09
58,uniform,fp32,134.50024772847195,135.03696701311077,1.0000000639755793,5.62974272734974e-09
59,uniform,fp32,134.59191013058998,135.2232778643365,1.0000000682532662,6.460905460395203e-09
60,uniform,fp32,134.46257363222549,134.98464518582236,1.0000000630431227,8.90028885544562e-09
61,uniform,fp32,134.53035944588916,135.14954398451397,1.000000067845513,8.873487424256434e-09
62,uniform,fp32,134.57763723404113,135.1439076738529,1.0000000652007037,3.075827167196722e-09
63,uniform,fp32,134.56350319625992,135.10190118564708,1.0000000634474777,7.161642483336482e-09
64,uniform,fp32,134.61608566176616,135.15853893311703,1.0000000632667456,7.321891159395917e-09
65,uniform,fp32,134.50787046141573,135.01659610709848,1.0000000622341252,6.468885901513684e-09
66,uniform,fp32,134.45010733487766,134.94678591470506,1.0000000619042897,6.82142752402228e-09
67,uniform,fp32,134.5254982118694,134.99015792534394,1.000000059578748,5.429831073913355e-09
68,uniform,fp32,134.5605648429732,135.1334920321209,1.0000000653589578,7.253971510476922e-09
69,uniform,fp32,134.623801485672,135.18082272809852,1.000000064274827,4.445005418405878e-09
70,uniform,fp32,134.659045305613,135.2087395308207,1.0000000630655714,9.454663017282749e-09
71,uniform,fp32,134.70146755673542,135.21314931890242,1.000000060813891,8.149812640752133e-09
72,uniform,fp32,134.64987817378042,135.13894965978318,1.0000000602347812,4.7403753103617436e-09
73,uniform,fp32,134.42092392996437,134.9660321048847,1.0000000649791323,6.319066937808782e-09
74,uniform,fp32,134.55182941768086,135.09507012609785,1.0000000639125166,6.1280194192446646e-09
75,uniform,fp32,134.56260565758646,135.13650641465912,1.0000000654561345,6.689294303904539e-09
76,uniform,fp32,134.7152180519434,135.19994853847055,1.0000000595605512,4.307622122840472e-09
77,uniform,fp32,134.6914128511421,135.1841045062619,1.000000059721723,8.633912203208478e-09
78,uniform,fp32,134.52384667429175,135.0925898560377,1.0000000653141763,8.085779444338311e-09
79,uniform,fp32,134.41879358419956,134.97719762105385,1.0000000653218406,9.738485508776204e-09
80,uniform,fp32,134.67309093298473,135.2504930946066,1.0000000647160305,7.511046726914866e-09
81,uniform,fp32,134.6484628434349,135.15910397102996,1.0000000611436866,8.06994423931291e-09
82,uniform,fp32,134.4398157723374,134.95319650483634,1.000000062743913,8.616629171321046e-09
83,uniform,fp32,134.42865734184093,135.05367474666662,1.000000069214669,6.632500787922899e-09
84,uniform,fp32,134.49434258431995,135.12028144823495,1.0000000687233606,6.761295099076295e-09
85,uniform,fp32,134.62769790205786,135.16286150429966,1.000000062930153,5.845776332664766e-09
86,uniform,fp32,134.69558172323497,135.22063959994875,1.0000000615360058,8.71146120627221e-09
87,uniform,fp32,134.59524349648632,135.12650104124182,1.000000062947845,5.8561762747210035e-09
88,uniform,fp32,134.72182271505264,135.25828810496833,1.0000000624026055,4.856550818847496e-09
89,uniform,fp32,134.53914727622492,135.11415562098685,1.0000000658643546,4.737435291711706e-09
90,uniform,fp32,134.61283056968134,135.1607516995545,1.000000063641011,6.895319828782699e-09
91,uniform,fp32,134.4995248102035,135.0237352615436,1.0000000630435522,7.765994816150172e-09
92,uniform,fp32,134.63950988693261,135.1983402784164,1.0000000639035826,8.058796712377991e-09
93,uniform,fp32,134.5143024129209,135.05468390885287,1.0000000640031723,6.417151246397535e-09
94,uniform,fp32,134.6907766302183,135.2144445736699,1.0000000619339526,4.62595948357878e-09
95,uniform,fp32,134.70700902634275,135.16974104615517,1.0000000582188064,5.448077151368295e-09
96,uniform,fp32,134.66806837933734,135.16463572140526,1.0000000604440045,5.878695775732135e-09
97,uniform,fp32,134.53629078758865,135.0248266814344,1.0000000608325,6.5552495087733745e-09
98,uniform,fp32,134.46221565153263,134.92326443151325,1.000000059736809,6.03389856523182e-09
99,uniform,fp32,134.5129133183637,134.9900571649879,1.0000000603127188,6.566149073398873e-09
