config,signal,sqnr_mean,sqnr_std,trials
E4M2,uniform,15.242118430469256,0.14286556409397275,100
E4M2,normal,15.525159784272253,0.12319247753108337,100
E4M2,multitone,16.874786947578173,0.6029228298927611,100
E4M3,uniform,21.167543846759404,0.15676364723167932,100
E4M3,normal,21.452937105372584,0.13931029298557615,100
E4M3,multitone,22.44973626367325,0.5715856346489087,100
E4M4,uniform,27.16732197817103,0.15143629979460088,100
E4M4,normal,27.442819880809182,0.17204715388382938,100
E4M4,multitone,28.50105828580027,0.5656761944263977,100
E5M3,uniform,21.16754383459769,0.15676364207001203,100
E5M3,normal,21.452937116296738,0.13931029415361523,100
E5M3,multitone,22.449729422064944,0.5715762486250157,100
