N,signal,sqnr_mean,sqnr_std,trials
256,uniform,61.27709993363891,0.32469124584683545,100
512,uniform,60.56992492188673,0.22327625855974423,100
1024,uniform,59.90561602068828,0.15687029785262155,100
2048,uniform,59.346904690752744,0.10131786737786252,100
4096,uniform,56.47084725163167,0.08295179289570104,100
256,normal,61.55707696846277,0.3066992532325919,100
512,normal,60.78050755149,0.21980471862575304,100
1024,normal,60.106935439714036,0.15816543427329177,100
2048,normal,59.516711708554574,0.11225042353175022,100
4096,normal,56.52720736900731,0.06738192229997686,100
256,multitone,61.59631412269108,0.8128809395699392,100
512,multitone,60.83529992094655,0.7139864347603886,100
1024,multitone,60.04354789184324,0.740028955219065,100
2048,multitone,59.48033845607437,0.6427115214602669,100
4096,multitone,56.500197748163274,0.6225295553710064,100
256,impulse,424.0823996531185,0.0,100
512,impulse,427.09269960975826,5.684341886080802e-14,100
1024,impulse,430.10299956639824,1.1368683772161603e-13,100
2048,impulse,433.1132995230379,5.684341886080802e-14,100
4096,impulse,436.12359947967803,2.8421709430404007e-13,100
